id,sku,name,category,price,brand,stock,image
100900,DOUBLE SLIDE DRAWING BASKET 475*210*550,DOUBLE SLIDE DRAWING BASKET 475*210*550,household,10.5,Generic,100,900-950/double-slide-drawing-basket-475-210-550.jpg
100901,SHORT ARM HINGE HN15  250 PCS/CTN,SHORT ARM HINGE HN15  250 PCS/CTN,door-handle,0.1,Generic,100,900-950/short-arm-hinge-hn15-250-pcs-ctn.jpg
100902,705 CLOTH HANGER,705 CLOTH HANGER,household,0.35,Generic,100,900-950/705-cloth-hanger.jpg
100903,"FLUSH BOLT 8""","FLUSH BOLT 8""",household,0.5,Generic,100,900-950/flush-bolt-8in.jpg
100904,DRAWING BASKET 450MM / 500MM / 600MM,DRAWING BASKET 450MM / 500MM / 600MM,household,2.25,Generic,100,900-950/drawing-basket-450mm-500mm-600mm.jpg
100905,"FLUSH BOLT 6""","FLUSH BOLT 6""",household,0.4,Generic,100,900-950/flush-bolt-6in.jpg
100906,TB4 3/8MM FANCY TOWER BOLT - GOLD & SILVER,TB4 3/8MM FANCY TOWER BOLT - GOLD & SILVER,door-handle,0.5,Generic,100,900-950/tb4-3-8mm-fancy-tower-bolt-gold-silver.jpg
100907,"TB3 1/2MM X 4"" FANCY TOWER BOLT","TB3 1/2MM X 4"" FANCY TOWER BOLT",door-handle,0.5,Generic,100,900-950/tb3-1-2mm-x-4in-fancy-tower-bolt.jpg
100908,DRS10 -DOOR STOPER HEAVY-DUTY SILVER (SN),DRS10 -DOOR STOPER HEAVY-DUTY SILVER (SN),household,0.4,Generic,100,900-950/drs10-door-stoper-heavy-duty-silver-sn.jpg
100909,DRS9 -DOOR STOPER STUD,DRS9 -DOOR STOPER STUD,household,0.35,Generic,100,900-950/drs9-door-stoper-stud.jpg
100910,DOOR STOPPER HALF ROUND,DOOR STOPPER HALF ROUND,household,0.3,Generic,100,900-950/door-stopper-half-round.jpg
100911,PLATE HOLDER KITCHEN JAALI (SHAKHAL) 10 SET/BOX,PLATE HOLDER KITCHEN JAALI (SHAKHAL) 10 SET/BOX,household,20,Generic,100,900-950/plate-holder-kitchen-jaali-shakhal-10-set-box.jpg
100912,DOOR CLOSER 505 MODEL 80-120KG,DOOR CLOSER 505 MODEL 80-120KG,door-handle,8,JB,100,900-950/door-closer-505-model-80-120kg.jpg
100913,360DEGREE REVOLVING DOUBLE RACK W/STAINLESS STEEL PIPE,360DEGREE REVOLVING DOUBLE RACK W/STAINLESS STEEL PIPE,household,7.5,Generic,100,900-950/360degree-revolving-double-rack-w-stainless-steel-pipe.jpg
100914,ML270 270DEGREE REVOLVING DOUBLE RACK W/STAINLESS STEEL PIPE 800MM,ML270 270DEGREE REVOLVING DOUBLE RACK W/STAINLESS STEEL PIPE 800MM,household,8,Generic,100,900-950/ml270-270degree-revolving-double-rack-w-stainless-steel-pipe.jpg
100915,DOOR CLOSER 504 MODEL 60-85KG,DOOR CLOSER 504 MODEL 60-85KG,door-handle,6,JB,100,900-950/door-closer-504-model-60-85kg.jpg
100916,DOOR CLOSER 502D HOLD-OPEN MODEL 25-45KG,DOOR CLOSER 502D HOLD-OPEN MODEL 25-45KG,door-handle,4,JB,100,900-950/door-closer-502d-hold-open-model-25-45kg.jpg
100917,DOOR CLOSER 502 MODEL 25-45KG WITHOUT PLASTIC COVER,DOOR CLOSER 502 MODEL 25-45KG WITHOUT PLASTIC COVER,door-handle,3.4,JB,100,900-950/door-closer-502-model-25-45kg-without-plastic-cover.jpg
100918,DOOR CLOSER 502 MODEL 25-45KG WITH PLASTIC COVER,DOOR CLOSER 502 MODEL 25-45KG WITH PLASTIC COVER,door-handle,3.75,JB,100,900-950/door-closer-502-model-25-45kg-with-plastic-cover.jpg
100919,PAD LOCK OPEL BRASS 80MM SECURITY RETAIL,PAD LOCK OPEL BRASS 80MM SECURITY RETAIL,door-handle,3,OPEL,100,900-950/pad-lock-opel-brass-80mm-security-retail.jpg
100920,PAD LOCK OPEL BRASS 50/60/70 RETAIL,PAD LOCK OPEL BRASS 50/60/70 RETAIL,door-handle,2.1,OPEL,100,900-950/pad-lock-opel-brass-50-60-70-retail.jpg
100921,PAD LOCK  SECURITY KEY,PAD LOCK  SECURITY KEY,door-handle,1.5,Generic,100,900-950/pad-lock-security-key.jpg
100922,LOCK BODY 45MM WITH BRASS CYLINDER LB4,LOCK BODY 45MM WITH BRASS CYLINDER LB4,door-handle,1.5,Generic,100,900-950/lock-body-45mm-with-brass-cylinder-lb4.jpg
100923,DRAWER LOCK - GOLD,DRAWER LOCK - GOLD,door-handle,3.5,Generic,100,900-950/drawer-lock-gold.jpg
100924,125352,HANGING SLIDING WHEEL FOR ALUMINIUM,hardware,2,Generic,100,900-950/hanging-sliding-wheel-for-aluminium.jpg
100925,LOCK BODY 45MM WITH ZINK CYLINDER LB2,LOCK BODY 45MM WITH ZINK CYLINDER LB2,door-handle,1.1,Generic,100,900-950/lock-body-45mm-with-zink-cylinder-lb2.jpg
100926,LOCK BODY 45MM WITH BRASS CYLINDER LB1,LOCK BODY 45MM WITH BRASS CYLINDER LB1,door-handle,1.5,Generic,100,900-950/lock-body-45mm-with-brass-cylinder-lb1.jpg
100927,BRASS CYLINDER 100MM / 120MM SECURITY LOCK + COMPUTER GIFT BOX,BRASS CYLINDER 100MM / 120MM SECURITY LOCK + COMPUTER GIFT BOX,door-handle,3,Generic,100,900-950/brass-cylinder-100mm-120mm-security-lock-computer-gift-box.jpg
100928,BRASS BATHROOM CYLINDER 70MM KNOB ONLY,BRASS BATHROOM CYLINDER 70MM KNOB ONLY,door-handle,10,Generic,100,900-950/brass-bathroom-cylinder-70mm-knob-only.jpg
100929,BRASS BATHROOM CYLINDER 70MM KNOB + KEY,BRASS BATHROOM CYLINDER 70MM KNOB + KEY,door-handle,1.5,Generic,100,900-950/brass-bathroom-cylinder-70mm-knob-key.jpg
100930,BRASS COMPUTER CYLINDER 70MM,BRASS COMPUTER CYLINDER 70MM,door-handle,1.5,Generic,100,900-950/brass-computer-cylinder-70mm.jpg
100931,BRASS CYLINDER 120MM,BRASS CYLINDER 120MM,door-handle,36,Generic,100,900-950/brass-cylinder-120mm.jpg
100932,BRASS CYLINDER 70MM,BRASS CYLINDER 70MM,door-handle,15,Generic,100,900-950/brass-cylinder-70mm.jpg
100933,BCLD-7023,ZINC CYLINDER 70MM - GOLD,door-handle,6.5,Generic,100,900-950/zinc-cylinder-70mm-gold.jpg
100934,ZINK CYLINDER 70MM,ZINK CYLINDER 70MM,door-handle,5.5,Generic,100,900-950/zink-cylinder-70mm.jpg
100935,CAM LOCK,CAM LOCK,door-handle,2.25,Generic,100,900-950/cam-lock.jpg
100936,125228,DRAWER LOCK HIGH QUALITY,door-handle,12,Generic,100,900-950/drawer-lock-high-quality.jpg
100937,123570,DRAWER LOCK COMPUTER KEY - CHROME (CP) 138X22 DL11,door-handle,9,Generic,100,900-950/drawer-lock-computer-key-chrome-cp-138x22-dl11.jpg
100938,DRAWER LOCK - CHROME (CP),DRAWER LOCK - CHROME (CP),door-handle,3.5,Generic,100,900-950/drawer-lock-chrome-cp.jpg
100939,808 LOCK,808 LOCK  (25 DOZEN/CARTON),door-handle,2,Generic,100,900-950/808-lock-25-dozen-carton.jpg
100940,ASD-14350,"DRAWER SLIDE SILVER-14""-35cm (15 sets/ctn)",hardware,6.5,Generic,100,900-950/drawer-slide-silver-14-35cm-15-sets-ctn.jpg
100941,PPR FEMALE TRUST,TRUST PPR FEMALE UNION,plumbing-fitting,0.65,iTrust,100,900-950/trust-ppr-female-union.jpg
100942,DS9,DS9 550MM 22 INCH TENDOM BOX WHITE(WH) SLIDE SOFT CLOSING,hardware,6,Generic,100,900-950/ds9-550mm-22-inch-tendom-box-white-wh-slide-soft-closing.jpg
100943,DS8,DS8 550MM 22 INCH TENDOM BOX BEIGE(BG) SLIDE SOFT CLOSING,hardware,5,Generic,100,900-950/ds8-550mm-22-inch-tendom-box-beige-bg-slide-soft-closing.jpg
100944,Drawer-Slide-Ball-Bearing,DRAWER SLIDE BALL BEARING SOFT CLOSING,hardware,1.5,Generic,100,900-950/drawer-slide-ball-bearing-soft-closing.jpg
100945,Drawer,DRAWER SLIDE BALL BEARING,hardware,0.55,Generic,100,900-950/drawer-slide-ball-bearing.jpg
100946,Drawer-slide-white,DRAWER SLIDE WHITE POWDER COATED ,hardware,3.25,Generic,100,900-950/drawer-slide-white-powder-coated.jpg
100947,DS7-9,DS7 550MM 22 INCH TENDOM BOX SILVER(SN) SLIDE SOFT CLOSING,hardware,5,Generic,100,900-950/ds7-550mm-22-inch-tendom-box-silver-sn-slide-soft-closing.jpg
100948,DS7,DS7 TENDOM BOX SLIDE SOFT CLOSING,hardware,3.75,Generic,100,900-950/ds7-tendom-box-slide-soft-closing.jpg
100949,Drawer-slider,DRAWER SLIDE BALL BEARING PUSH OPEN,hardware,2,Generic,100,900-950/drawer-slide-ball-bearing-push-open.jpg
