id,sku,name,category,price,brand,stock,image
101124,"2"" 222-B","WHITE STEEL NAIL-2"" (50 box/ctn)",construction,7,Generic,100,1100-1150/white-steel-nail-2-50-box-ctn.jpg
101125,COMBINATION PLIER,COMBINATION PLIER,hand-tools,3.75,Generic,100,1100-1150/combination-plier.jpg
101126,TSN-532526,TIN SNIP,hand-tools,11,Generic,100,1100-1150/tin-snip.jpg
101127,BLKG-142 BLACK GOLD,142 BLACK GOLD,door-handle,0.7,Generic,100,1100-1150/142-black-gold.jpg
101128,SFM-010235,SURFACE SCRAPER MOVABLE,hand-tools,1.55,Generic,100,1100-1150/surface-scraper-movable.jpg
101129,SRF-10365,SURFACE SCRAPER FIXED,hand-tools,1.55,Generic,100,1100-1150/surface-scraper-fixed.jpg
101130,SRP-960232,4 PC SCRAPER SET,hand-tools,0.96,Generic,100,1100-1150/4-pc-scraper-set.jpg
101131,MRU-83620,MASONRY TROWEL U-TYPE,hand-tools,4,Generic,100,1100-1150/masonry-trowel-u-type.jpg
101132,MTR-125003,MASONRY TROWEL PLAIN,hand-tools,4,Generic,100,1100-1150/masonry-trowel-plain.jpg
101133,RRA7525,MEASURING TAPE 7.5MTR,hand-tools,4.5,Generic,100,1100-1150/measuring-tape-7-5mtr.jpg
101134,RRA3019,MEASURING TAPE 3MTR,hand-tools,2.25,Generic,100,1100-1150/measuring-tape-3mtr.jpg
101135,SQS-9066,TOILET SEAT,household,1.4,Generic,100,1100-1150/toilet-seat.jpg
101136,MPD-53028,STRING MOP,household,4.1,Generic,100,1100-1150/string-mop.jpg
101137,MOP-032985,STRING MOP RED,household,3,Generic,100,1100-1150/string-mop-red.jpg
101138,BRW-59263,WIRE BRUSH,household,1.7,Generic,100,1100-1150/wire-brush.jpg
101139,SRI-273624,SRI LANKA HARD BROOM,household,3.25,Generic,100,1100-1150/sri-lanka-hard-broom.jpg
101140,BRE-51263,SOFT BROOM LONG,household,2.9,Generic,100,1100-1150/soft-broom-long.jpg
101141,BSR-726325,SCRUB BROOM,household,1.95,Generic,100,1100-1150/scrub-broom.jpg
101142,BPT-852036,SOFT BROOM 270MM,household,1.8,Generic,100,1100-1150/soft-broom-270mm.jpg
101143,BRF-96226,SOFT BROOM 260MM,household,1.6,Generic,100,1100-1150/soft-broom-260mm.jpg
101144,WDST-6302,BROOM STICK WOODEN,household,3.5,Generic,100,1100-1150/broom-stick-wooden.jpg
101145,TPU-85318,PU WHEEL WITH RED RIM,tools,2.15,Generic,100,1100-1150/pu-wheel-with-red-rim.jpg
101146,HRG-45632,HOESE SINGLE HOLE,sanitary,2.35,Generic,100,1100-1150/hoese-single-hole.jpg
101147,TRUST-3402,TRUST PPR MALE UNION.,plumbing-fitting,0.8,iTrust,100,1100-1150/trust-ppr-male-union.jpg
101148,2.5X11 6.5KG BAG,"2.5"" X 6.5 KG BAG NAIL SAFI",construction,1.9,Safi,100,1100-1150/2-5-x-6-5-kg-bag-nail-safi.jpg
101149,SPL-9632,FILTER PLASTIC BODY,filter,2.85,Generic,100,1100-1150/filter-plastic-body.jpg
