name,category,price,stock,description,badge,brand,image
WELDING MASK,tools,1.25,100,"TOLSEN welding mask — protects face and eyes from sparks, spatter and UV radiation during welding and cutting.",,TOLSEN,45085.png
P80 Sand Paper 125mm 5'',tools,1.75,100,Makita P80 Sand Paper 125mm 5'' sanding discs — hook-and-loop discs for random orbital sanders. Fits 125mm (5'') sanders.,,Makita,P-43555.png
VDE NUT SCREWDRIVER 9.0 * 125MM,hand-tools,1.9,100,TOLSEN 125MM VDE insulated nut screwdriver — hex nut driving with 1000V insulation for safe electrical installation work.,,TOLSEN,V31209.png
DC ARC Welding ARC/MMA/140,tools,45,100,"DCA DC ARC Welding ARC/MMA/140 — inverter welding machine for workshop and site use. Stable arc, compact body and reliable performance.",,DCA,ARC-MMA-140.png
P60 Sand Paper 125mm 5'',tools,1.75,100,Makita P60 Sand Paper 125mm 5'' sanding discs — hook-and-loop discs for random orbital sanders. Fits 125mm (5'') sanders.,,Makita,P-43549.png
VDE NUT SCREWDRIVER 8.0 * 125MM,hand-tools,1.75,100,TOLSEN 125MM VDE insulated nut screwdriver — hex nut driving with 1000V insulation for safe electrical installation work.,,TOLSEN,V31208.png
WELDING GOGGLE,tools,1.25,100,"TOLSEN welding goggles — eye protection against sparks, spatter and harmful rays for welding and cutting work.",,TOLSEN,45075.png
P40 Sand Paper 125mm 5'',tools,1.75,100,Makita P40 Sand Paper 125mm 5'' sanding discs — hook-and-loop discs for random orbital sanders. Fits 125mm (5'') sanders.,,Makita,P-43533.png
VDE NUT SCREWDRIVER 7.0 * 125MM,hand-tools,1.6,100,TOLSEN 125MM VDE insulated nut screwdriver — hex nut driving with 1000V insulation for safe electrical installation work.,,TOLSEN,V31207.png
WELDING ELECTRODE 4.0 X 400,tools,2.75,100,"TOLSEN welding electrodes 0 X 400 — general purpose mild-steel stick electrodes for MMA/ARC welding. Smooth arc, easy slag removal, consistent welds.",,TOLSEN,44954.png
Mandrel,tools,1.75,100,Dremel mandrel for rotary tools — holds cutting and polishing wheels securely. Compatible with Dremel-style rotary tools.,,Dremel,401.png
VDE NUT SCREWDRIVER 6.0 * 125MM,hand-tools,1.5,100,TOLSEN 125MM VDE insulated nut screwdriver — hex nut driving with 1000V insulation for safe electrical installation work.,,TOLSEN,V31206.jpg
WELDING ELECTRODE 3.2 X 350,tools,2.5,100,"TOLSEN welding electrodes 2 X 350 — general purpose mild-steel stick electrodes for MMA/ARC welding. Smooth arc, easy slag removal, consistent welds.",,TOLSEN,44953.png
Bench vice 6''-2,hand-tools,21.5,100,"Total 6' bench vice — heavy cast body with anvil face and swivel base. Secure workholding for filing, cutting and assembly.",,Total,THT6166.png
Brush cutter blade 10 '',tools,2.5,100,"Total brush cutter blade — hardened steel blade for clearing grass, weeds and brush with trimmers.",,Total,TGTBCB95.png
VDE NUT SCREWDRIVER 5.0 * 125MM,hand-tools,1.45,100,TOLSEN 125MM VDE insulated nut screwdriver — hex nut driving with 1000V insulation for safe electrical installation work.,,TOLSEN,V31205.png
WELDING ELECTRODE 2.5 X 300,tools,2.5,100,"TOLSEN welding electrodes 5 X 300 — general purpose mild-steel stick electrodes for MMA/ARC welding. Smooth arc, easy slag removal, consistent welds.",,TOLSEN,44952.png
Bench vice 4''-2,hand-tools,13.5,100,"Total 4' bench vice — heavy cast body with anvil face and swivel base. Secure workholding for filing, cutting and assembly.",,Total,THT6146.png
VDE NUT SCREWDRIVER 4.0 * 125MM,hand-tools,1.4,100,TOLSEN 125MM VDE insulated nut screwdriver — hex nut driving with 1000V insulation for safe electrical installation work.,,TOLSEN,V31204.png
WELDING CHIPPING HAMMER 300G,tools,1,100,TOLSEN 300G welding chipping hammer — removes slag and spatter from welds. Hardened head with chisel and point ends.,,TOLSEN,44945.png
Hot Melt Glue Sticks 11mm X 150mm 10 pcs,tools,1,100,"FIXTEC hot melt glue sticks 11mm — strong bonding for crafts, repairs and assembly. Fits standard glue guns.",,FIXTEC,FGS07150.png
Quick Rathchet Bar Clamp 36'',hand-tools,7.5,100,"Total 36' quick ratchet bar clamp — one-handed clamping for woodworking, gluing and assembly. Quick-release trigger.",,Total,THT1346803.png
3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*3/8'',hand-tools,1,100,TOLSEN 3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*3/8'' — magnetic nut setter/socket set for power drivers. Strong magnet holds fasteners for fast one-handed driving.,,TOLSEN,77832.png
EARTH CLAMP 500A,tools,1.25,100,TOLSEN 500A welding earth clamp — strong spring grip and solid current transfer for MMA/MIG welding ground connections.,,TOLSEN,44941.png
Thin CUT-OFF WHEEL 115×1.0×22 A60T,tools,0.75,100,"Makita 22 A thin cut-off wheel for angle grinders — fast, clean cuts in steel and stainless with minimal burring.",,Makita,B-12217.png
2'' G Clamp,hand-tools,1,100,HARDEN 2' G-clamp — cast body with steel screw for securing workpieces to benches and surfaces.,,HARDEN,600200.png
3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*5/16'',hand-tools,1,100,TOLSEN 3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*5/16'' — magnetic nut setter/socket set for power drivers. Strong magnet holds fasteners for fast one-handed driving.,,TOLSEN,77831.png
EARTH CLAMP 300A,tools,1,100,TOLSEN 300A welding earth clamp — strong spring grip and solid current transfer for MMA/MIG welding ground connections.,,TOLSEN,44940.png
SDS-MAXTBULL POINT 280mm,tools,3.75,100,Makita 280mm SDS-Max bull point chisel — concrete and masonry demolition with rotary hammers.,,Makita,A-80787.png
4PCS QUICK RATCHET BAR CLAMP SET,hand-tools,5,100,"TOLSEN 4PCS quick ratchet bar clamp — one-handed clamping for woodworking, gluing and assembly. Quick-release trigger.",,TOLSEN,10209.png
3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*1/4'',hand-tools,1,100,TOLSEN 3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*1/4'' — magnetic nut setter/socket set for power drivers. Strong magnet holds fasteners for fast one-handed driving.,,TOLSEN,77830.png
ELECTRODE HOLDER 500A,tools,2.25,100,TOLSEN 500A electrode holder — heavy-duty spring-loaded clamp with insulated handle for stick/MMA welding.,,TOLSEN,44933.png
Quick Rathchet Bar Clamp 18''-1,hand-tools,4.75,100,"Total 18' quick ratchet bar clamp — one-handed clamping for woodworking, gluing and assembly. Quick-release trigger.",,Total,THT1340603.png
3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*10MM,hand-tools,1.25,100,TOLSEN 3PCS MAGNETIC NUT SOCKET SET 48MM 48MM*10MM — magnetic nut setter/socket set for power drivers. Strong magnet holds fasteners for fast one-handed driving.,,TOLSEN,77825.png
AMERICAN STYLE ELECTRODE HOLDER 500A,tools,2.25,100,TOLSEN 500A electrode holder — heavy-duty spring-loaded clamp with insulated handle for stick/MMA welding.,,TOLSEN,44931.png
Quick Rathchet Bar Clamp 12''-1,hand-tools,3.75,100,"Total 12' quick ratchet bar clamp — one-handed clamping for woodworking, gluing and assembly. Quick-release trigger.",,Total,THT1340602.png
