id,sku,name,category,price,brand,stock,image
100623,CH68 - CP/BLACK KNOB,CH68 - CP/BLACK KNOB,door-handle,0.4,Generic,100,600-650/ch68-cp-black-knob.jpg
100624,CH60 / CH61 CABINET KNOB,CH60 / CH61 CABINET KNOB,door-handle,0.5,Generic,100,600-650/ch60-ch61-cabinet-knob.jpg
100625,STAINLESS STEEL MR11,STAINLESS STEEL MR11,door-handle,2.5,Generic,100,600-650/stainless-steel-mr11.jpg
100626,STAINLESS STEEL JBSS07,STAINLESS STEEL JBSS07,door-handle,2,Generic,100,600-650/stainless-steel-jbss07.jpg
100627,STAINLESS STEEL JBSS06,STAINLESS STEEL JBSS06,door-handle,2,Generic,100,600-650/stainless-steel-jbss06.jpg
100628,CH56 LATKAN SILVER (SN ),CH56 LATKAN SILVER (SN ),door-handle,0.35,Generic,100,600-650/ch56-latkan-silver-sn.jpg
100629,ZINC MR22 - BLACK,ZINC MR22 - BLACK,door-handle,3.5,Generic,100,600-650/zinc-mr22-black.jpg
100630,ZINC MR20 - SILVER CHROME (SN/CP),ZINC MR20 - SILVER CHROME (SN/CP),door-handle,3,Generic,100,600-650/zinc-mr20-silver-chrome-sn-cp.jpg
100631,ZINC MR17- BLACK COLOR,ZINC MR17- BLACK COLOR,door-handle,3.5,Generic,100,600-650/zinc-mr17-black-color.jpg
100632,ZINC MR12- BLACK COLOR,ZINC MR12- BLACK COLOR,door-handle,3.5,Generic,100,600-650/zinc-mr12-black-color.jpg
100633,IRON MR3 - SILVER CHROME (SN/CP),IRON MR3 - SILVER CHROME (SN/CP),door-handle,2,Generic,100,600-650/iron-mr3-silver-chrome-sn-cp.jpg
100634,ELECTRIC FINGER PRINT LOCK WITH 2 KEY CARD,ELECTRIC FINGER PRINT LOCK WITH 2 KEY CARD,door-handle,25,Generic,100,600-650/electric-finger-print-lock-with-2-key-card.jpg
100635,DHZ97 GOLD (GP),DHZ97 GOLD (GP),door-handle,3.5,Generic,100,600-650/dhz97-gold-gp.jpg
100636,DHZ93 GOLD (GP),DHZ93 GOLD (GP),door-handle,3.5,Generic,100,600-650/dhz93-gold-gp.jpg
100637,DHZ89 SILVER CHROME (SN/CP),DHZ89 SILVER CHROME (SN/CP),door-handle,3.5,Generic,100,600-650/dhz89-silver-chrome-sn-cp.jpg
100638,DHZ88 SILVER ROSE-GOLD (SN/RGP),DHZ88 SILVER ROSE-GOLD (SN/RGP),door-handle,3.5,Generic,100,600-650/dhz88-silver-rose-gold-sn-rgp.jpg
100639,DHZ80 ROSE GOLD (RGP),DHZ80 ROSE GOLD (RGP),door-handle,3.5,Generic,100,600-650/dhz80-rose-gold-rgp.jpg
100640,DHZ62 GOLD (GP),DHZ62 GOLD (GP),door-handle,3.5,Generic,100,600-650/dhz62-gold-gp.jpg
100641,DHZ60 SILVER GOLD (SN/GP),DHZ60 SILVER GOLD (SN/GP),door-handle,3.5,Generic,100,600-650/dhz60-silver-gold-sn-gp.jpg
100642,DHZ59 SILVER GOLD (SN/GP) 20 SET/CTN,DHZ59 SILVER GOLD (SN/GP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz59-silver-gold-sn-gp-20-set-ctn.jpg
100643,DHZ58 SILVER GOLD (SN/GP) 20 SET/CTN,DHZ58 SILVER GOLD (SN/GP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz58-silver-gold-sn-gp-20-set-ctn.jpg
100644,DHZ56 SILVER CHROME (SN/CP) 20 SET/CTN,DHZ56 SILVER CHROME (SN/CP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz56-silver-chrome-sn-cp-20-set-ctn.jpg
100645,DHZ55 SILVER GOLD (SN/GP) 20 SET/CTN,DHZ55 SILVER GOLD (SN/GP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz55-silver-gold-sn-gp-20-set-ctn.jpg
100646,DHZ54 SILVER CHROME (SN/CP) 20 SET/CTN,DHZ54 SILVER CHROME (SN/CP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz54-silver-chrome-sn-cp-20-set-ctn.jpg
100647,DHZ52 GOLD (GP) 20 SET/CTN,DHZ52 GOLD (GP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz52-gold-gp-20-set-ctn.jpg
100648,DHZ51 SILVER GOLD (SN/GP) 20 SET/CTN,DHZ51 SILVER GOLD (SN/GP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz51-silver-gold-sn-gp-20-set-ctn.jpg
100649,DHZ43 GOLD (GP) 20 SET/CTN,DHZ43 GOLD (GP) 20 SET/CTN,door-handle,3.5,Generic,100,600-650/dhz43-gold-gp-20-set-ctn.jpg
