id,sku,name,category,price,brand,stock,image
101224,RK22-93625,GARDEN RAKE FAN,gardening,2.5,Generic,100,1200-1250/garden-rake-fan.jpg
101225,RUB,RUBBER HAMMER BLACK,hand-tools,4.4,Generic,100,1200-1250/rubber-hammer-black.jpg
101226,BPU-69825,TROLLEY TIRE WHEEL PU,trolley-caster,1.65,Generic,100,1200-1250/trolley-tire-wheel-pu.jpg
101227,GLD-142 SILVER,142 SILVER,door-handle,0.7,Generic,100,1200-1250/142-silver.jpg
101228,PAD LOCK OPEL,PAD LOCK OPEL,hardware,0,Generic,100,1200-1250/pad-lock-opel.jpg
101229,END CUTTING NIPPER,END CUTTING NIPPER,hand-tools,5.75,Generic,100,1200-1250/end-cutting-nipper.jpg
101230,CABLE CUTTER,CABLE CUTTER,hand-tools,4.45,Generic,100,1200-1250/cable-cutter.jpg
101231,SCRAPER ITRUST,SCRAPER ITRUST,hand-tools,1.1,iTrust,100,1200-1250/scraper-itrust.jpg
101232,TROWEL SQUARE,TROWEL SQUARE,hand-tools,2.5,Generic,100,1200-1250/trowel-square.jpg
101233,TROWEL ROUND,TROWEL ROUND,hand-tools,2.25,Generic,100,1200-1250/trowel-round.jpg
101234,TILE CUTTER MACHINE,TILE CUTTER MACHINE,hand-tools,12.5,Generic,100,1200-1250/tile-cutter-machine.jpg
101235,TILE CUTTER HNDL,TILE CUTTER HNDL,hand-tools,1.4,Generic,100,1200-1250/tile-cutter-hndl.jpg
101236,DUST PAN METAL,DUST PAN METAL,household,4.5,Generic,100,1200-1250/dust-pan-metal.jpg
101237,WET MOP,WET MOP,household,5.75,Generic,100,1200-1250/wet-mop.jpg
101238,FLAT DUST MOP,FLAT DUST MOP,household,6.35,Generic,100,1200-1250/flat-dust-mop.jpg
101239,MOP FRAME,MOP FRAME,household,0.48,Generic,100,1200-1250/mop-frame.jpg
101240,MOP CLIP,MOP CLIP,household,2.1,Generic,100,1200-1250/mop-clip.jpg
101241,WIPER RED KNOB,WIPER RED KNOB,household,2.8,Generic,100,1200-1250/wiper-red-knob.jpg
101242,SCAFFOLDING WHEEL STEM TYPE,SCAFFOLDING WHEEL STEM TYPE,trolley-caster,1.95,Generic,100,1200-1250/scaffolding-wheel-stem-type.jpg
101243,WHEEL ONLY,WHEEL ONLY,trolley-caster,0.58,Generic,100,1200-1250/wheel-only.jpg
101244,CASTER BRAKE NP,CASTER BRAKE NP,trolley-caster,0.5,Generic,100,1200-1250/caster-brake-np.jpg
101245,WHEEL PIPE TYPE 6″,WHEEL PIPE TYPE 6″,trolley-caster,3.25,Generic,100,1200-1250/wheel-pipe-type-6.jpg
101246,CASTER BALL TYPE 2″,CASTER BALL TYPE 2″,trolley-caster,0.38,Generic,100,1200-1250/caster-ball-type-2.jpg
101247,REFLECTIVE TAPE 2″,REFLECTIVE TAPE 2″,tape,2.95,Generic,100,1200-1250/reflective-tape-2.jpg
101248,MQ- 40,MQ- 40,hardware,4.5,Generic,100,1200-1250/mq-40.jpg
101249,CHROME REDUCER,CHROME REDUCER,plumbing-fitting,0.02,Generic,100,1200-1250/chrome-reducer.jpg
