id,sku,name,category,price,brand,stock,image
100450,193036-7,Dust Collector Hood,tools,11.5,Generic,100,450-500/dust-collector-hood.png
100451,HPWR14008,130 bar 1400w High Pressure Washer,tools,28.25,Generic,100,450-500/130-bar-1400w-high-pressure-washer.png
100452,660213,Tweezer Bent Anti Static,hand-tools,0.75,Generic,100,450-500/tweezer-bent-anti-static.png
100453,rod-2.5,Welding rods 2.5mm,tools,1.5,Generic,100,450-500/welding-rods-2-5mm.png
100454,"Caster 4"" (10cm)","Caster 4"" (10cm)",door-handle,0.95,Generic,100,450-500/caster-4-10cm.png
100455,HWBS4004011,4.0x40mm Chipboard Screw 150 pcs,fastener,1.75,Generic,100,450-500/4-0x40mm-chipboard-screw-150-pcs.png
100456,FHPT0009,"9"" Paint Tray",paint-tool,1,Generic,100,450-500/9-paint-tray.png
100457,KSGT-300W,cable tie 4.8 x 300MM WHITE,hardware,1.5,Generic,100,450-500/cable-tie-4-8-x-300mm-white.png
100458,62683,STEEL LADDER 150 KG/3 STEPS,safety,14.75,Generic,100,450-500/steel-ladder-150-kg-3-steps.png
100459,D-18764,Thin CUT-OFF WHEEL 115x1.2x22.23 WA60T (for STAINLESS),tools,0.75,Generic,100,450-500/thin-cut-off-wheel-115-1-2-22-23-wa60t-for-stainless.png
100460,10198,"Spring Clamp 4""",hand-tools,0.5,Generic,100,450-500/spring-clamp-4.png
100461,90915-YZZE2,OIL FILTER TOYOTA,filter,0.3,Generic,100,450-500/oil-filter-toyota.png
100463,AF41 TAP HINGES,AF41 TAP HINGES,door-handle,0.65,Generic,100,450-500/af41-tap-hinges.jpeg
100464,AF40 BOLT MC-083N,AF40 BOLT MC-083N,door-handle,0.3,Generic,100,450-500/af40-bolt-mc-083n.jpeg
100465,125951,AF32 MATFA SP BOLT MC-083,door-handle,0.3,Generic,100,450-500/af32-matfa-sp-bolt-mc-083.jpeg
100466,AF28 DUBDA,AF28 DUBDA,door-handle,0.15,Generic,100,450-500/af28-dubda.jpeg
100467,AF10 DOOR STOPPER 208G BRAKE - (HY-DB),AF10 DOOR STOPPER 208G BRAKE - (HY-DB),door-handle,0.65,Generic,100,450-500/af10-door-stopper-208g-brake-hy-db.jpeg
100468,AF8 601E SANAD AMERICI,AF8 601E SANAD AMERICI,door-handle,0.5,Generic,100,450-500/af8-601e-sanad-americi.jpeg
100469,AF7 HINGES MC-B11,AF7 HINGES MC-B11,door-handle,1,Generic,100,450-500/af7-hinges-mc-b11.jpg
100470,125952,AF6 RED WHEEL - HY1001,door-handle,7.5,Generic,100,450-500/af6-red-wheel-hy1001.jpeg
100471,AF5 SPECIAL 2PCS HINGES,AF5 SPECIAL 2PCS HINGES,door-handle,0.35,Generic,100,450-500/af5-special-2pcs-hinges.jpeg
100472,AF4TAB3LEAFHINGESNORMAL,AF4 TAB3 LEAF HINGES NORMAL,door-handle,0.35,Generic,100,450-500/af4-tab3-leaf-hinges-normal.jpeg
100473,AF3TIJARIA3PCSLEAFHINGES,AF3 TIJARIA 3 PCS LEAF HINGES,door-handle,0.4,Generic,100,450-500/af3-tijaria-3-pcs-leaf-hinges.jpeg
100474,AF2TIJARIA2PCSHINGES,AF2 TIJARIA 2 PCS HINGES,door-handle,0.25,Generic,100,450-500/af2-tijaria-2-pcs-hinges.jpeg
100475,AF1SP3PCSHINGES(MUFASALATKHASUSI),AF1 SP 3PCS HINGES (MUFASALAT KHASUSI),door-handle,0.5,Generic,100,450-500/af1-sp-3pcs-hinges-mufasalat-khasusi.jpeg
100476,P9 60mm Furniture&Kitchen Cabinet Support Legs 100Pcs/Box,P9 60mm Furniture & Kitchen Cabinet Support Legs 100Pcs/Box,household,0.25,Generic,100,450-500/p9-60mm-furniture-kitchen-cabinet-support-legs-100pcs-box.jpeg
100477,P7 80MM FURNITURE & KITCHEN CABINET SUPPORT LEGS,P7 80MM FURNITURE & KITCHEN CABINET SUPPORT LEGS,household,0.25,Generic,100,450-500/p7-80mm-furniture-kitchen-cabinet-support-legs.jpeg
100478,P5 - Furniture & Kitchen Cabinet Support Legs,P5 - Furniture & Kitchen Cabinet Support Legs,household,0.2,Generic,100,450-500/p5-furniture-kitchen-cabinet-support-legs.jpeg
100479,DRYWALL SCREW CORSE THREAD 20KG BAG,DRYWALL SCREW CORSE THREAD 20KG BAG,fastener,18,Generic,100,450-500/drywall-screw-corse-thread-20kg-bag.jpg
100480,PAN HEAD SELF TAPING SCREW NICKLE PLATE,PAN HEAD SELF TAPING SCREW NICKLE PLATE,fastener,0.5,Generic,100,450-500/pan-head-self-taping-screw-nickle-plate.jpeg
100481,FLAT SELF TAPING SCREW NICKLE PLATE,FLAT SELF TAPING SCREW NICKLE PLATE,fastener,0.45,Generic,100,450-500/flat-self-taping-screw-nickle-plate.jpeg
100482,PAN HEAD MACHINE SCREW ZINC PLATED,PAN HEAD MACHINE SCREW ZINC PLATED,fastener,0.5,Generic,100,450-500/pan-head-machine-screw-zinc-plated.jpeg
100483,PAPER DISK CHINA,PAPER DISK CHINA,tools,2,Generic,100,450-500/paper-disk-china.jpeg
100484,126297,35MM HSS HOLESAW,tools,3,Generic,100,450-500/35mm-hss-holesaw.jpeg
100485,RUBBER FOR AIR GUN,RUBBER FOR AIR GUN,tools,0.75,Generic,100,450-500/rubber-for-air-gun.jpeg
100486,125755,10X3 WOOD SCREW FLAT,fastener,0.65,Generic,100,450-500/10x3-wood-screw-flat.jpeg
100487,NOSEL FOR AIR GUN,NOSEL FOR AIR GUN,tools,1.5,Generic,100,450-500/nosel-for-air-gun.jpeg
