id,sku,name,category,price,brand,stock,image
101250,SILICONE TRUST,SILICONE TRUST,spray-adhesive,5.35,iTrust,100,1250-1300/silicone-trust.jpg
101251,PPR FEMALE UNION,PPR FEMALE UNION,plumbing-fitting,0.85,Generic,100,1250-1300/ppr-female-union.jpg
101252,SILICONE G-SEAL,SILICONE G-SEAL,spray-adhesive,7.85,Generic,100,1250-1300/silicone-g-seal.jpg
101253,CYLINDER GOLD,CYLINDER GOLD,hardware,3.9,Generic,100,1250-1300/cylinder-gold.jpg
101254,SG-30331,TRUST WASH BASIN,sanitary,2.9,iTrust,100,1250-1300/trust-wash-basin.jpg
101255,FWF-7910C,WATER FILTER WF10C,filter,1.05,Generic,100,1250-1300/water-filter-wf10c.jpg
101256,BRNG-63252,ANGLE VALVE BLUE,sanitary,0.52,Generic,100,1250-1300/angle-valve-blue.jpg
101257,SHW-31020,SHATTAF HEAD WHITE GREY,sanitary,2.22,Generic,100,1250-1300/shattaf-head-white-grey.jpg
101258,GRL-2020IT,GRILL FOR FLOOR DRAIN,sanitary,0.165,Generic,100,1250-1300/grill-for-floor-drain.jpg
101259,SG-30329,TRUST SHOWER,sanitary,4.15,iTrust,100,1250-1300/trust-shower.jpg
101260,UDRN005,"ERA TEE WASHER ORANGE 4""",plumbing-fitting,0.73,ERA,100,1250-1300/era-tee-washer-orange-4.jpg
101261,CHROME EXTENSION,CHROME EXTENSION,plumbing-fitting,0.039,Generic,100,1250-1300/chrome-extension.jpg
101262,CHROME NIPPLE,CHROME NIPPLE,plumbing-fitting,0.04,Generic,100,1250-1300/chrome-nipple.jpg
101263,ELB,BRASS ELBOW,plumbing-fitting,0.26,Generic,100,1250-1300/brass-elbow.jpg
101264,LBC-45C70-GLD,LOCK BODY 45MM GOLD,hardware,0.85,Generic,100,1250-1300/lock-body-45mm-gold.jpg
101265,BGL-175 GOLD,175 GOLD,door-handle,0.69,Generic,100,1250-1300/175-gold.jpg
101266,MCW,MACHINIST HAMMER WOOD,hand-tools,5,Generic,100,1250-1300/machinist-hammer-wood.jpg
101267,PT-3352,V-TEX,spray-adhesive,5.75,Generic,100,1250-1300/v-tex.jpg
101268,WBYP-60612,WHEEL BARROW GREEN WITH PU TIRE,tools,8.65,Generic,100,1250-1300/wheel-barrow-green-with-pu-tire.jpg
101269,SHD-20152-1,SHOWER HEAD SQUARE,sanitary,3,Generic,100,1250-1300/shower-head-square.jpg
101270,FTL-8910C2,WATER FILTER WF10C2,filter,3.45,Generic,100,1250-1300/water-filter-wf10c2.jpg
101271,VNG-310999,ANGLE VALVE VX,sanitary,0.505,Generic,100,1250-1300/angle-valve-vx.jpg
101272,CRV-820206,COVER FOR FLOOR DRAIN ORANGE,sanitary,0.19,Generic,100,1250-1300/cover-for-floor-drain-orange.jpg
101273,SG-30332,TRUST SINGLE HOLE,sanitary,2.1,iTrust,100,1250-1300/trust-single-hole.jpg
101274,UDRN005,"ERA P TRAP 4″ ORANGE 4""",sanitary,0.95,ERA,100,1250-1300/era-p-trap-4-orange-4.jpg
101275,CRM PLUG,CHROME PLUG,plumbing-fitting,0.03,Generic,100,1250-1300/chrome-plug.jpg
