id,sku,name,category,price,brand,stock,image
101424,"2"" 222-B","WHITE STEEL NAIL-2"" (50 box/ctn)",construction,7,Generic,100,1400-1450/white-steel-nail-2in-50-box-ctn.jpg
101426,2.5X11 6.5KG BAG,"2.5"" X 6.5 KG BAG NAIL SAFI",construction,1.9,Safi,100,1400-1450/2-5in-x-6-5-kg-bag-nail-safi.jpg
101427,HRG-45035,HORSE WALL SINK,sanitary,2.75,Generic,100,1400-1450/horse-wall-sink.jpg
101428,FLE-3020L,FILTER CERAMIC,filter,2.4,Generic,100,1400-1450/filter-ceramic.jpg
101429,TAFL-256533,TEFLON TAPE AGILE RETAIL,tape,5.5,Agile,100,1400-1450/teflon-tape-agile-retail.jpg
101430,2x12 8 KG,SAFI NAILS 2x 12 x 8 KG,construction,2.7,Safi,100,1400-1450/safi-nails-2inx-12-x-8-kg.jpg
101431,TNKR-36852,BRASS TANK CONNECTOR RETAIL,plumbing-fitting,3.25,Generic,100,1400-1450/brass-tank-connector-retail.jpg
101432,1.25X15 8KG BAG,SAFI NAILS 1.25 x15 8 KG,construction,2.5,Safi,100,1400-1450/safi-nails-1-25in-x15-8-kg.jpg
101433,PR022,ERA PPR FEMALE UNION,plumbing-fitting,0.85,Era,100,1400-1450/era-ppr-female-union.jpg
101434,WRB,WRECKING BAR,hand-tools,1.45,Generic,100,1400-1450/wrecking-bar.jpg
101435,CRB,CROW BAR,hand-tools,0.75,Generic,100,1400-1450/crow-bar.jpg
101436,LONG NIPPLE,LONG NIPPLE,plumbing-fitting,0.095,Generic,100,1400-1450/long-nipple.jpg
101437,FJW-20325,FAUCET WHITE,sanitary,2.65,Generic,100,1400-1450/faucet-white.jpg
101438,MTP-320YL YELLOW,SURE TAPE 2x30Y YELLOW,tape,4.25,SureTape,100,1400-1450/sure-tape-2inx30y-yellow.jpg
101439,PR007-1,ERA PPR FEMALE ADAPTOR,plumbing-fitting,0.2,Era,100,1400-1450/era-ppr-female-adaptor.jpg
101440,MTP-220Y YELLOW,SURE TAPE 2x20Y YELLOW,tape,3.1,SureTape,100,1400-1450/sure-tape-2inx20y-yellow.jpg
101441,MTP-1520Y WHITE,SURETAPE WHITE 1.5x20Y,tape,2.5,SureTape,100,1400-1450/suretape-white-1-5inx20y.jpg
101442,MTP-130Y WHITE,SURETAPE WHITE 1x30 Y,tape,3.35,SureTape,100,1400-1450/suretape-white-1inx30-y.jpg
101443,LBRG-710 BLACK GOLD,710 BLACK GOLD,door-handle,1,Generic,100,1400-1450/710-black-gold.jpg
101444,LBG-705 GOLD,705 GOLD,door-handle,1,Generic,100,1400-1450/705-gold.jpg
101445,LSGS-709 SILVER GOLD,709 SILVER GOLD,door-handle,1,Generic,100,1400-1450/709-silver-gold.jpg
101446,LGB-710 GOLD,710 GOLD,door-handle,1,Generic,100,1400-1450/710-gold.jpg
101447,LGGR-709 GOLD,709 GOLD,door-handle,1,Generic,100,1400-1450/709-gold.jpg
101448,LSVV-709 SILVER,709 SILVER,door-handle,1,Generic,100,1400-1450/709-silver.jpg
101449,LGGL-707 GOLD,707 GOLD,door-handle,1,Generic,100,1400-1450/707-gold.jpg
