id,sku,name,category,price,brand,stock,image
100322,537,"1/8"" Brass Brushes",hand-tools,3.5,Generic,100,300-350/1-8-brass-brushes.png
100323,535,"3/4"" Brass Brushes",hand-tools,2.5,Generic,100,300-350/3-4-brass-brushes.png
100324,"STS Flat Head CSK 8x3"" (100pcs)","STS Flat Head CSK 8x3"" (100pcs)",hand-tools,1.25,Generic,100,300-350/sts-flat-head-csk-8x3-100pcs.png
100325,V38118,"INSULATED COMBINATION PLIERS(INDUSTRIAL) 200MM,8""",hand-tools,3.5,Tolsen,100,300-350/insulated-combination-pliersindustrial-200mm-8.png
100326,V38116,"INSULATED COMBINATION PLIERS(INDUSTRIAL) 160MM,6""",hand-tools,3.25,Tolsen,100,300-350/insulated-combination-pliersindustrial-160mm-6.png
100327,P-43614,"P400 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p400-sand-paper-125mm-5.png
100328,P-43608,"P320 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p320-sand-paper-125mm-5.png
100329,P-43599,"P240 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p240-sand-paper-125mm-5.png
100330,P-43598,"P180 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p180-sand-paper-125mm-5.png
100331,2519,DC MIG/MAG Welder NBC-270 (Internal),tools,250,DCA,100,300-350/dc-mig-mag-welder-nbc-270-internal.png
100332,P-43597,"P120 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p120-sand-paper-125mm-5.png
100333,P-43596,"P100 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p100-sand-paper-125mm-5.png
100334,P-43595,"P80 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p80-sand-paper-125mm-5.png
100335,2512,DC Arc Welding ARC MMA 140,tools,45,DCA,100,300-350/dc-arc-welding-arc-mma-140.png
100336,P-43594,"P60 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p60-sand-paper-125mm-5.png
100337,P-43593,"P40 Sand Paper 125mm 5""",hand-tools,1.75,Makita,100,300-350/p40-sand-paper-125mm-5.png
100338,5613,"2"" G Clamp",hand-tools,1,Generic,100,300-350/2-g-clamp.png
100339,6358,Inverter MMA Welding Machine 200A-1,tools,39,Total,100,300-350/inverter-mma-welding-machine-200a-1.png
100340,4586,"Bench Vice 6"" -1",hand-tools,20,Generic,100,300-350/bench-vice-6-1.png
100341,4585,"Bench Vice 4"" -1",hand-tools,11.5,Generic,100,300-350/bench-vice-4-1.png
100342,4173,Welding Machine 250A MMA,tools,29,Makule,100,300-350/welding-machine-250a-mma.png
100343,3426,"Quick Ratchet Bar Clamp 24""",hand-tools,3.5,Tolsen,100,300-350/quick-rathchet-bar-clamp-24.png
100344,5032,Inverter MMA Welding Machine 160A,tools,40,Total,100,300-350/inverter-mma-welding-machine-160a.png
100345,5184,Sanding Sheet Set,hand-tools,1,Ingco,100,300-350/sanding-sheet-set.png
100346,3425,"Quick Ratchet Bar Clamp 18""",hand-tools,2.75,Tolsen,100,300-350/quick-rathchet-bar-clamp-18.png
100347,2175,Arbor(SDS Shank) 32-152mm,hand-tools,2,Generic,100,300-350/arborsds-shank-32-152mm.png
100348,4878,Magnetic Welding Holder-3,tools,3.5,Total,100,300-350/magnetic-welding-holder-3.png
100349,4780,5pcs Screw Extractor,hand-tools,2.75,Generic,100,300-350/5pcs-screw-extractor.png
