id,sku,name,category,price,brand,stock,image
100650,DHZ38 GOLD (GP) 20 SET/CTN,DHZ38 GOLD (GP) 20 SET/CTN,door-handle,3.5,Generic,100,650-700/dhz38-gold-gp-20-set-ctn.jpg
100651,DHZ29 SILVER GOLD (SN/GP) 20 SET/CTN,DHZ29 SILVER GOLD (SN/GP) 20 SET/CTN,door-handle,3.5,Generic,100,650-700/dhz29-silver-gold-sn-gp-20-set-ctn.jpg
100652,DHZ6 SILVER CHROME (SN/CP) AKD BRAND 20 SET/CTN,DHZ6 SILVER CHROME (SN/CP) AKD BRAND 20 SET/CTN,door-handle,3.5,Generic,100,650-700/dhz6-silver-chrome-sn-cp-akd-brand-20-set-ctn.jpg
100653,DHZ6 PVD,DHZ6 PVD,door-handle,4.5,Generic,100,650-700/dhz6-pvd.jpg
100654,DHZ5 BLACK COLOR,DHZ5 BLACK COLOR,door-handle,4,Generic,100,650-700/dhz5-black-color.jpg
100655,DHZ3 BLACK COLOR,DHZ3 BLACK COLOR,door-handle,4,Generic,100,650-700/dhz3-black-color.jpg
100656,DHZ2 BLACK COLOR,DHZ2 BLACK COLOR,door-handle,4,Generic,100,650-700/dhz2-black-color.jpg
100657,FIBER MESH ROLL-OFFER,FIBER MESH ROLL-OFFER,construction,1.75,Generic,100,650-700/fiber-mesh-roll-offer.jpg
100658,BWG 22 x 4kg-OFFER,BWG 22 x 4kg-OFFER,construction,3,Generic,100,650-700/bwg-22-x-4kg-offer.jpg
100659,BWG 21 x 3.5kg-OFFER,BWG 21 x 3.5kg-OFFER,construction,1.2,Generic,100,650-700/bwg-21-x-3-5kg-offer.jpg
100660,SILICONE- NEW,SILICONE- NEW,spray-adhesive,5.9,Generic,100,650-700/silicone-new.jpg
100661,M S WOOD SCREW 4″x12- OFFER,M S WOOD SCREW 4″x12- OFFER,fastener,25.9,Generic,100,650-700/m-s-wood-screw-4-x12-offer.jpg
100662,CROSS WHEEL SPANNER 16″- OFFER,CROSS WHEEL SPANNER 16″- OFFER,hand-tools,18.75,Generic,100,650-700/cross-wheel-spanner-16-offer.jpg
100663,WELDING GLASS CLEAR- OFFER,WELDING GLASS CLEAR- OFFER,safety,8,Generic,100,650-700/welding-glass-clear-offer.jpg
100664,SPRAY PAINT- RETAIL,SPRAY PAINT- RETAIL,spray-adhesive,0.2,Generic,100,650-700/spray-paint-retail.jpg
100665,MIRROR- RETAIL,MIRROR- RETAIL,hardware,0.3,Generic,100,650-700/mirror-retail.jpg
100666,TARPAULIN- RETAIL,TARPAULIN- RETAIL,construction,0.45,Generic,100,650-700/tarpaulin-retail.jpg
100667,SAW- RETAIL,SAW- RETAIL,hand-tools,2.9,Generic,100,650-700/saw-retail.jpg
100668,GLOVES- RETAIL,GLOVES- RETAIL,safety,0.65,Generic,100,650-700/gloves-retail.jpg
100669,CPVC – RETAIL,CPVC – RETAIL,plumbing-fitting,1.5,Generic,100,650-700/cpvc-retail.jpg
100670,FOAM- RETAIL,FOAM- RETAIL,construction,0.45,Generic,100,650-700/foam-retail.jpg
100671,CARTRIDGE- RETAIL,CARTRIDGE- RETAIL,spray-adhesive,2.5,Generic,100,650-700/cartridge-retail.jpg
100672,WARNING TAPE PVC- OFFER,WARNING TAPE PVC- OFFER,safety,17.8,Generic,100,650-700/warning-tape-pvc-offer.jpg
100673,TRAFFIC CONE 1MTR- OFFER,TRAFFIC CONE 1MTR- OFFER,safety,6.25,Generic,100,650-700/traffic-cone-1mtr-offer.jpg
100674,3U 18 WARM,3U 18 WARM,household,0.24,Generic,100,650-700/3u-18-warm.jpg
100675,3U 18 DAY,3U 18 DAY,household,0.29,Generic,100,650-700/3u-18-day.jpg
100676,SPIRAL 35 WARM,SPIRAL 35 WARM,household,0.38,Generic,100,650-700/spiral-35-warm.jpg
100677,SPIRAL 35 DAY,SPIRAL 35 DAY,household,0.38,Generic,100,650-700/spiral-35-day.jpg
100678,3U 30 WARM,3U 30 WARM,household,0.35,Generic,100,650-700/3u-30-warm.jpg
100679,3U 30 DAY,3U 30 DAY,household,0.35,Generic,100,650-700/3u-30-day.jpg
100680,LED A60 9 WARM,LED A60 9 WARM,household,0.2,Generic,100,650-700/led-a60-9-warm.jpg
100681,LED A60 9 DAY,LED A60 9 DAY,household,0.23,Generic,100,650-700/led-a60-9-day.jpg
100682,LED A70 14 WARM,LED A70 14 WARM,household,0.3,Generic,100,650-700/led-a70-14-warm.jpg
100683,LED A70 14 DAY,LED A70 14 DAY,household,0.33,Generic,100,650-700/led-a70-14-day.jpg
100684,LED SPOT R80 WARM,LED SPOT R80 WARM,household,0.45,Generic,100,650-700/led-spot-r80-warm.jpg
100685,LED SPOT R80 DAY,LED SPOT R80 DAY,household,0.45,Generic,100,650-700/led-spot-r80-day.jpg
100686,LED SPOT R63 WARM,LED SPOT R63 WARM,household,0.33,Generic,100,650-700/led-spot-r63-warm.jpg
100687,LED SPOT R63 DAY,LED SPOT R63 DAY,household,0.35,Generic,100,650-700/led-spot-r63-day.jpg
